((1, 6, 8), (2, 3, 9), (4, 5, 7))
((1, 7, 8), (2, 3, 9), (4, 5, 6))
((1, 6, 8), (2, 4, 9), (3, 5, 7))
((1, 7, 8), (2, 4, 9), (3, 5, 6))
((1, 5, 9), (2, 6, 7), (3, 4, 8))
((1, 6, 7), (2, 3, 8), (4, 5, 6))
((1, 7, 7), (2, 3, 8), (4, 5, 6))
((1, 6, 7), (2, 3, 8), (4, 5, 5))
((1, 5, 7), (2, 3, 8), (4, 4, 6))
((1, 6, 7), (2, 3, 8), (4, 4, 5))
((1, 5, 7), (2, 3, 8), (3, 4, 6))
((1, 6, 7), (2, 3, 8), (3, 4, 5))
((1, 6, 7), (2, 4, 8), (3, 5, 6))
((1, 7, 7), (2, 4, 8), (3, 5, 6))
((1, 6, 7), (2, 4, 8), (3, 5, 5))
((1, 5, 8), (2, 6, 6), (3, 4, 7))
((1, 4, 8), (2, 5, 6), (3, 3, 7))
((1, 5, 7), (2, 2, 8), (3, 4, 6))
((1, 6, 7), (2, 2, 8), (3, 4, 5))
((1, 5, 6), (2, 3, 7), (4, 5, 5))
((1, 6, 6), (2, 3, 7), (4, 5, 6))
((1, 6, 6), (2, 3, 7), (4, 5, 5))
((1, 5, 6), (2, 3, 7), (4, 4, 5))
((1, 6, 6), (2, 3, 7), (4, 4, 5))
((1, 5, 6), (2, 3, 7), (4, 4, 4))
((1, 5, 6), (2, 3, 7), (3, 4, 5))
((1, 6, 6), (2, 3, 7), (3, 4, 5))
((1, 5, 6), (2, 3, 7), (3, 4, 4))
((1, 4, 6), (2, 3, 7), (3, 3, 5))
((1, 5, 6), (2, 3, 7), (3, 3, 4))
((1, 5, 6), (2, 4, 7), (3, 5, 5))
((1, 6, 6), (2, 4, 7), (3, 5, 6))
((1, 6, 6), (2, 4, 7), (3, 5, 5))
((1, 4, 7), (2, 5, 5), (3, 3, 6))
((1, 5, 6), (2, 2, 7), (3, 4, 5))
((1, 6, 6), (2, 2, 7), (3, 4, 5))
((1, 5, 6), (2, 2, 7), (3, 4, 4))
((1, 4, 6), (2, 2, 7), (3, 3, 5))
((1, 5, 6), (2, 2, 7), (3, 3, 4))
((1, 4, 6), (2, 2, 7), (2, 3, 5))
((1, 5, 6), (2, 2, 7), (2, 3, 4))
((1, 4, 6), (2, 3, 5), (2, 2, 7))
((1, 5, 6), (2, 3, 4), (2, 2, 7))
((1, 5, 5), (2, 3, 6), (4, 4, 5))
((1, 5, 5), (2, 3, 6), (4, 4, 4))
((1, 4, 5), (2, 3, 6), (3, 4, 4))
((1, 5, 5), (2, 3, 6), (3, 4, 5))
((1, 5, 5), (2, 3, 6), (3, 4, 4))
((1, 4, 5), (2, 3, 6), (3, 3, 4))
((1, 5, 5), (2, 3, 6), (3, 3, 4))
((1, 4, 5), (2, 2, 6), (3, 4, 4))
((1, 5, 5), (2, 2, 6), (3, 4, 5))
((1, 5, 5), (2, 2, 6), (3, 4, 4))
((1, 4, 5), (2, 2, 6), (3, 3, 4))
((1, 5, 5), (2, 2, 6), (3, 3, 4))
((1, 4, 5), (2, 2, 6), (3, 3, 3))
((1, 4, 5), (2, 2, 6), (2, 3, 4))
((1, 5, 5), (2, 2, 6), (2, 3, 4))
((1, 4, 5), (2, 2, 6), (2, 3, 3))
((1, 4, 5), (2, 3, 4), (2, 2, 6))
((1, 5, 5), (2, 3, 4), (2, 2, 6))
((1, 4, 5), (2, 3, 3), (2, 2, 6))
((1, 4, 4), (2, 3, 5), (3, 3, 4))
((1, 4, 4), (2, 2, 5), (3, 3, 4))
((1, 4, 4), (2, 2, 5), (3, 3, 3))
((1, 3, 4), (2, 2, 5), (2, 3, 3))
((1, 4, 4), (2, 2, 5), (2, 3, 4))
((1, 4, 4), (2, 2, 5), (2, 3, 3))
((1, 3, 4), (2, 3, 3), (2, 2, 5))
((1, 4, 4), (2, 3, 4), (2, 2, 5))
((1, 4, 4), (2, 3, 3), (2, 2, 5))
